"","workTitle"
"5918","MIDSUMMER NIGHT'S DREAM, OP. 61 (ARR. PIANO) (ARR. Unspecified)"
"5934","IDOMENEO, K.366"
"5963","BETLY"
"5967","INTRODUCTION AND POLONAISE (ARR. Liszt)"
"5971","JULIUS CAESAR, OP. 128"
"5976","CONCERTO, PIANO, NO. 1, F SHARP MINOR, OP. 72"
"5977","SYMPHONY NO.  88, G MAJOR"
"5979","SYMPHONY NO. 3, F MAJOR, OP.153 (IM WALDE)"
"5986","CONCERTO, VIOLIN, NO. 1, G MINOR, OP.26"
"5992","MACBETH, OP. 13 (OVERTURE)"
"5995","POLIUTO"
"6001","SYMPHONY NO. 2, E MINOR"
"6016","JEAN DE PARIS"
"6025","WIE KAM DIE LIEBE"
"6037","KRIEGERS GEBET"
"6051","CHRISTMAS ORATORIO, CANTATAS 1 - 3, BWV 248"
"6059","CONCERTO, PIANO NO. 23, A MAJOR, K.488"
"6075","TRIO, VLN/VC/PNO, OP. 97, B-FLAT (""ARCHDUKE""): ANDANTE (ARR. ORCH.) (ARR. Liszt)"
"6083","DICHTERLIEBE, OP. 48"
"6121","PRINZESSIN ILSE: OVERTURE"
"6123","PRELUDES, OP. 28"
"6127","SYMPHONY NO. 4, G MINOR"
"6134","SPIRIT'S SONG, HXXVIA:41"
"6162","PRAYER"
"6169","SON OF THE OCEAN ISLE"
"6176","CONSECRATION OF THE HOUSE OVERTURE, OP. 124"
"6187","CHRISTUS"
"6195","SYMPHONY NO. 8, B MINOR, OP. 47"
"6199","ADAGIO FOR CELLO, OP.38"
"6201","GALILEI OVERTURE, A MAJOR"
"6207","SYMPHONY NO.  92, G MAJOR (OXFORD)"
"6225","SYMPHONY NO. 2 (OCEAN), C MAJOR, OP.42 (1863 VERSION)"
"6232","CONCERTO, VIOLIN, NO.  9, D MINOR, OP. 55"
"6238","LORELEY"
"6255","BEATRICE DI TENDA"
"6257","SYMPHONY NO. 1, F MAJOR"
"6265","FANTASIE, F MINOR, D.940 (PIANO FOUR HANDS) (ARR. Rudorff)"
"6271","TARANTELLE, A-FLAT MAJOR, OP. 43"
"6280","MICHEL ANGELO"
"6289","SONATA, VIOLIN, UNACCOMPANIED, NO. 1, G MINOR, BWV 1001"
"6298","SYMPHONY NO. 4, E MINOR, OP.50 (ARCADIAN)"
"6329","O FRAGE NICHT!"
"6336","NACHHALL"
"6350","SYMPHONY NO. 5 (LENORE) E MAJOR, OP. 177"
"6357","SUITE NO. 2, OP. 16"
"6393","CONCERTO, PIANO, C MINOR, OP. 185"
"6405","NORMANNENFAHRT"
"6411","PRE AUX CLERCS"
"6417","NOCTURNES (ORIG. SOLO PIANO)"
"6423","ARABESQUE, C MAJOR, OP. 18"
"6443","PARTITA NO. 2, D MINOR, BWV 1004: CHACONNE  (ARR. Raff)"
"6449","SYMPHONY NO.  95, C MINOR"
"6461","SYMPHONY NO. 6, D MINOR, OP. 189"
"6463","SYMPHONY NO. 3, C MINOR, OP. 78"
"6475","FESTIVAL OVERTURE, OP.51"
"6478","CONCERTO, VIOLIN"
"6492","FANTASIE OVERTURE, OP.42"
"6501","FASCHINGSSCHWANK AUS WIEN, OP. 26"
"6507","JULIUS CAESAR"
"6512","CONCERTO, PIANO, NO. 1, D MINOR, OP.15"
"6517","RIGOLETTO"
"6532","LIEBESBOTSCHAFT"
"6555","PARTITA NO. 2, D MINOR, BWV 1004"
"6562","CONCERTO, PIANO, NO. 2, E MINOR, OP. 120"
"6586","FANISKA"
"6588","RONDEAU FOR PIANO, E-FLAT MAJOR, OP. 16"
"6610","ROMEO AND JULIET, FANTASY-OVERTURE"
"6612","HUNGARIAN RHAPSODY NO. 10"
"6622","WALKURE, DIE, WWV 86B"
"6631","ROSAMUNDE: INCIDENTAL MUSIC, D.797"
"6661","TOCCATA & FUGUE, D MINOR, BWV 565 (PIANO) (ARR. Tausig)"
"6673","MINUET (UNSPECIFIED), SOLO PIANO"
"6685","GAVOTTE ET VARIATIONS"
"6697","CONCERTO, VIOLIN, NO. 1, D MAJOR, OP. 6"
"6733","FANTASIESTUCKE, OP. 12"
"6745","GUITARRE: IMPROMPTU"
"6757","ALOUETTES"
"6769","VALSE, A-FLAT (SOLO PIANO)"
"6793","HUNGARIAN FANTASY, PIANO AND ORCHESTRA"
"6810","CONCERTO, PIANO, NO. 2, G MINOR, OP. 22"
"6820","GOTTERDAMMERUNG [GÖTTERDÄMMERUNG]"
"6845","RUSTIC WEDDING SYMPHONY, OP. 26"
"6929","RUINS OF ATHENS, OP. 113"
"7069","NUITS D'ETE, OP.7"
"7097","TROYENS, LES"
"7181","FANTASIA FOR PIANO, CHORUS AND ORCH., OP.80"
"7210","SERENADE, STRING ORCHESTRA, OP. 9, D MAJOR"
"7211","CONCERTO, PIANO, F SHARP MINOR, OP.10"
"7217","L'ALLEGRO, IL PENSEROSO ED IL MODERATO"
"7265","SUITE, PIANO, OP. 200"
"7267","SYMPHONY NO. 1 IN C MINOR, OP. 68"
"7275","SERENADE FOR STRINGS NO. 3, D MINOR, OP. 69"
"7278","VARIATIONS ON A THEME BY HAYDN, OP. 56A"
